Date,Carbohydrates,Fiber,Protein,Fat,Item Description,Unit Price
15/2/2023,409.08,0,0,0,ALIBABA SUPER POP FRUIT FLAVOR, RM30.00 
15/2/2023,102.24,0,13.28,38.4,HET MARJERIN ROTI KOK 160G+-, RM2.55 
16/2/2023,6923,0,230,1150,MARIGOLD K&T SWEET CREAMER 500G, RM2.02 
16/2/2023,43.5,0,124.5,505.5,BEGA TATURA CREAM CHEESE 250G, RM8.80 
16/2/2023,151.8,0,96.6,1614.6,EMBORG WHIPPING CREAM 200ML, RM6.85 
16/2/2023,0,0,487.32,242.76,FIRST PRIDE BBQ CHICKEN 600G, RM12.50 
16/2/2023,1.5,0,65,55.5,GUD SHREDDED MOZZARELLA 250G, RM12.00 
16/2/2023,592,0,652,84,KLFC MARINATED S/B CHICKEN CHOP 1KG, RM22.58 
16/2/2023,511,0,591.5,273,KLFC TERIYAKI CHICKEN WITH SAUCE 350G, RM11.86 
16/2/2023,22.5,0,18.75,2925,LURPAK BUTTER S/SALTED 250G, RM10.50 
16/2/2023,16.5,0,13.75,2145,LURPAK BUTTER UNSALTED 250G, RM8.90 
16/2/2023,589.68,0,207.48,458.64,MARIGOLD KRIMER SEJAT 390G, RM3.06 
16/2/2023,290,20,40,70,MI SEDAAP KOREAN SPICY CHICKEN 5PCS, RM4.84 
16/2/2023,435,0,52.5,22.5,WINGO STICK CHOC WITH DURIAN 40PCS, RM6.60 
17/2/2023,526.02,0,47.52,5.28,3D BURSTING BALL EYEBALL 30PCS, RM9.00 
17/2/2023,526.02,0,47.52,5.28,3D BURSTING BALL SWEET DUCK 30PCS, RM9.00 
18/2/2023,11025,0,0,0,F&N SARSI 1.5LIT, RM34.20 
20/2/2023,35.75,0,0,0,SPRITZER SO TINGE TEMBIKAI 325ML, RM1.07 
20/2/2023,46,0,0,0,SPRITZER SPARKLING 325ML, RM0.75 
21/2/2023,840,0,0,0,BURST ANGRY BITE BUBBLE GUM 60PCS, RM17.60 
21/2/2023,2397,0,192,18,CAP CINTA KETUPAT NASI MINI 600G, RM4.49 
21/2/2023,108.1,0,0,0,DRAWING RULER+LOLLIPOP 30PCS, RM8.20 
21/2/2023,4800,0,0,0,HORSE POPPING LOLLIPOP 30PCS, RM8.80 
21/2/2023,7134.6,0,0,0,ICE CREAM LOLLIPOP 30PCS, RM9.00 
21/2/2023,279,0,18,27,MARSHMALLOW CHOCOLATE 30PCS, RM8.80 
21/2/2023,330,0,0,0,MIMI LOLLIPOP 30PCS, RM9.00 
21/2/2023,325.6,0,9.2,0,PANDA MARSHMALLOW 80PCS, RM6.60 
21/2/2023,280,0,0,20,RAINBOW SPARY 20PCS, RM6.00 
21/2/2023,152.15,0,35.7,3.4,REX KACANG PANGGANG 425G, RM2.51 
21/2/2023,106.25,59.5,79.9,6.8,REX KACANG PEA 425G, RM2.51 
21/2/2023,486.45,0,0,0,SQUID GAME OF SUGAR CANDY 30PCS, RM8.80 
21/2/2023,10701.9,0,0,0,SQUID LIGHT LOLLIPOP 30PCS, RM8.80 
21/2/2023,70,0,0,0,SUPER KONJAC JELLY 40PCS, RM12.00 
21/2/2023,35,0,0,0,SUPER KONJAC JELLY 40PCS, RM12.00 
21/2/2023,385.44,0,0,0,TUMBLER CANDY 30PCS, RM8.80 
21/2/2023,13369.2,312,780,483.6,WHISTLE & POPPING CANDY 30PCS, RM8.80 
22/2/2023,840,0,23,0,JOMEI MARSHMALLOW 500G, RM7.00 
22/2/2023,413.5,0,12,43,JOMEI STONE CANDY 500G, RM6.00 
22/2/2023,4806,0,120,24,SSYP BAI MU GUA SI 2KG, RM22.50 
22/2/2023,4806,0,120,24,SSYP JIU ZHI CHENG TIAO 2KG, RM26.70 
23/2/2023,5658.96,0,0,0,CED PURE HONEY 380G, RM8.60 
23/2/2023,320.4,0,8,1.6,HARIMAU SERBUK ASAM 400G, RM4.30 
23/2/2023,348,0,12,36,HPG HAW FLAKES 12PCS, RM3.60 
23/2/2023,23.2,3.2,2,14,HPG MACARONS LEMON 80PCS, RM4.80 
23/2/2023,80,0,0,0,HPG SLICE KONJAC JELLY CANDY 40PCS, RM11.30 
23/2/2023,903,0,63,10.5,MIMICO JELLY DROPS 350G, RM3.65 
23/2/2023,0,0,0,1572.48,PLANTA MARGARINE 480G, RM10.26 
23/2/2023,163.2,0,0,7.2,RICO ASSORTED PUDDING 24PCS, RM3.32 
23/2/2023,163.2,0,0,7.2,RICO ASSORTED PUDDING 24PCS, RM3.65 
23/2/2023,675,0,3,27,RICO GRAPE PUDDING 24PCS, RM3.65 
23/2/2023,800,0,0,0,RICO JELLY CUP 100PCS, RM4.85 
23/2/2023,1600,0,0,0,RICO JELLY CUP 100PCS, RM4.85 
23/2/2023,75,0,0,12.5,RICO MIX FRUIT JELLY 250G, RM0.83 
23/2/2023,217.6,0,0,9.6,RICO ORANGE PUDDING 24PCS, RM3.65 
23/2/2023,800,0,0,0,RICO PUDDING CUP 100PCS, RM5.47 
23/2/2023,648,0,0,0,RICO UMBRELLA PUDDING 24PCS, RM4.00 
23/2/2023,432,0,0,0,RICO UMBRELLA PUDDING 24PCS, RM4.00 
23/2/2023,90,3.8,15,2.5,SAN REMO SPAGHETTI 500G, RM4.42 
23/2/2023,1540,55.6,220,20,SELVA ELBOW DIRSEK 500G, RM3.25 
23/2/2023,11165,403.1,1595,145,SELVA SPAGHETTI KLASIK 500G, RM3.25 
23/2/2023,13.5,4.5,12,22.5,VF MIX 150G, RM5.30 
23/2/2023,1474.04,34.4,86,53.32,VFOODS MINI TIN CHOCO BEAR 430G, RM8.50 
23/2/2023,2211.06,51.6,129,79.98,VFOODS MINI TIN COOKIES WHITE CREAM 430G, RM9.80 
23/2/2023,2211.06,51.6,129,79.98,VFOODS MINI TIN DURIAN CREAM COOKIES 430G, RM9.63 
23/2/2023,737.02,17.2,43,26.66,VFOODS MINI TIN SEASONING CHICKEN STICKS 430G, RM9.00 
23/2/2023,368.51,8.6,21.5,13.33,VFOODS MINI TIN V-O BLACK CHOC 430G, RM9.00 
24/2/2023,389.34,0,43.47,277.83,ADABI PERENCAH IKAN BAKAR 70G, RM1.50 
24/2/2023,207.6,0,25.2,87.6,ADABI PERENCAH TOM YAM SEAFOOD 40G,RM1.30
24/2/2023,256.88,7.6,34.58,57.76,CINTAN PERISA ASLI 5PCS, RM3.00 
24/2/2023,3009.6,136.8,547.2,1026,CINTAN PERISA KARI 5PCS, RM3.65 
24/2/2023,15440,0,1420,580,JATI BERAS JELAPANG 10KG, RM27.72 
24/2/2023,15440,0,1420,580,JATI BERAS JELAPANG 10KG, RM27.72 
24/2/2023,3860,0,355,145,JATI BERAS JELAPANG 5KG, RM14.16 
24/2/2023,128,8,16,48,JULIE'S OAT 25 TEN GRAIN 12PCS, RM14.40 
24/2/2023,9750,0,0,4000,SCH UBI SAMBAL 300G, RM4.60 
24/2/2023,89.952,0,0,0,SUGALOVA TASTY LOLLIPOPS 40PCS, RM6.45 
27/2/2023,0,0,0,830,SERI PELANGI MARJERIN 1KG, RM8.00 
1/3/2023,93,0,6,9,MARSHMALLOW CHOCOLATE 30PCS, RM8.80 
1/3/2023,597,0,0,3,POACHED EGG SHAPE PUDDING JELLY 30PCS, RM9.00 
1/3/2023,560,0,0,40,RAINBOW SPARY 20PCS, RM6.00 
1/3/2023,15,1,2,12,WATER GAME 8PCS, RM2.00 
3/3/2023,20.16,0,49.6,27.2,AYAM BRAND TUNA 160G, RM6.42 
7/3/2023,140.4,0,18.72,74.4,CADBURY DAIRY MILK BUBBLY 120G, RM7.40 
7/3/2023,183.96,0,11.844,46.62,CADBURY SHOTS 18G, RM0.82 
7/3/2023,292,0,18.8,74,CADBURY SHOTS 39.6G, RM1.65 
7/3/2023,99.4,0,8.4,28.7,CHIPSMORE DOUBLE CHOCO 153G, RM3.56 
7/3/2023,336,16,16,96,MINI OREO CHOCOLATE 8PCS, RM6.03 
7/3/2023,54,2.7,5.4,16.2,OREO PEANUT BUTTER & CHOC 9X29.4G, RM5.25 
7/3/2023,108,0,9,28.5,TIGER BISKUAT SUSU 75G, RM0.97 
9/3/2023,376.2,0,21.6,0,BIHO LAKSA BERAS (M) 450G, RM2.51 
9/3/2023,1600,0,0,0,RICO JELLY CUP 100PCS, RM4.85 
9/3/2023,1088,0,0,48,RICO PINEAPPLE PUDDING 24PCS, RM3.65 
10/3/2023,500,0,133,183,ADABI KURMA AYAM & DAGING 250G, RM6.00 
10/3/2023,496.5,87.75,58.5,33,ADABI SERBUK KUNYIT 250G,RM5.50
10/3/2023,93.6,7.2,36,7.2,ADABI T/GORENG SERBAGUNA 180G,RM1.80
10/3/2023,119.78,0,1.695,2.825,ALISHAN KING LONGANS 565G, RM6.00 
10/3/2023,1552.5,129.375,139.725,0,CAP KIPAS UDANG K/L MASIN 345ML, RM4.53 
10/3/2023,806,0,74,4.7,ERAWAN TEPUNG BERAS 1KG, RM3.40 
10/3/2023,2821,0,259,16.45,ERAWAN TEPUNG BERAS 500G, RM1.75 
10/3/2023,3124,0,44,22,KIMBALL SOS BBQ 1KG, RM8.60 
10/3/2023,355.8,0,26.4,9.6,SAJIKU KUAH ROJAK ASLI 300G, RM4.10 
11/3/2023,0,0,236.7,175.5,AL-AALI FROZEN BONELESS BUFFALO MEAT 900GM,RM10.75
11/3/2023,210,20,20,20,BUMIMAS FRENCH FRIED CRINKLE CUT 1KG, RM8.50 
